"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0051240","positive regulation of multicellular organismal process",1,1,1,0.00303980825541706,0.0125095454971996,2.00343450284413,0.00303980825541706,0.0125095454971996,2.00343450284413,1,2.00343450284413,2.00343450284413,0,"2.003","3e-03","1.3e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0064303636172284,2.00343450284413,2.00343450284413,0.0125095454971996,0.00303980825541706,2.00343450284413,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0016491","oxidoreductase activity",2,1,2,0.0387553463611671,0.098744997882063,1.99719630873462,0.00732629787673766,0.0236629448222133,1.99719630873462,0.916268000405663,1.86666730778191,2.10161950949679,0.234952201714873,"2.102;1.867","1.2e-03;1.5e-02","4.6e-03;4.7e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_MF","376_Astro",TRUE,"v7_weighted_standalone",0.0421708355188959,1.99719630873462,1.99719630873462,0.098744997882063,0.0387553463611671,1.99719630873462,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0098685","Schaffer collateral - CA1 synapse",2,1,2,0.0435569931032138,0.0775213309157188,1.99512368945581,0.00494518089746141,0.0105511957277968,1.99512368945581,0.951105609537992,1.9187741879504,2.05620329066014,0.137429102709734,"2.056;1.919","2.6e-03;7.8e-03","6.0e-03;1.6e-02","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.0468063602618905,1.99512368945581,1.99512368945581,0.0775213309157188,0.0435569931032138,1.99512368945581,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0006793","phosphorus metabolic process",2,1,2,0.0449406955833127,0.113873389039651,1.99299981420713,0.00967192203959276,0.0267038184932075,1.99299981420713,0.815182533809546,1.75807158062022,2.28666010619076,0.528588525570534,"1.758;2.287","1.7e-02;8.5e-04","4.5e-02;4.4e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0478909042914117,1.99299981420713,1.99299981420713,0.113873389039651,0.0449406955833127,1.99299981420713,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0006796","phosphate-containing compound metabolic process",2,1,2,0.0449406955833127,0.113873389039651,1.99299981420713,0.00967192203959276,0.0267038184932075,1.99299981420713,0.815182533809546,1.75807158062022,2.28666010619076,0.528588525570534,"1.758;2.287","1.7e-02;8.5e-04","4.5e-02;4.4e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0478909042914117,1.99299981420713,1.99299981420713,0.113873389039651,0.0449406955833127,1.99299981420713,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0031099","regeneration",1,1,1,0.00494432422988715,0.0181237315314076,1.99021401111664,0.00494432422988715,0.0181237315314076,1.99021401111664,1,1.99021401111664,1.99021401111664,0,"1.99","4.9e-03","1.8e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00886103832101036,1.99021401111664,1.99021401111664,0.0181237315314076,0.00494432422988715,1.99021401111664,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0006897","endocytosis",1,1,1,0.00379773882014221,0.0149081449428987,1.98826536788458,0.00379773882014221,0.0149081449428987,1.98826536788458,1,1.98826536788458,1.98826536788458,0,"1.988","3.8e-03","1.5e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00759187869784952,1.98826536788458,1.98826536788458,0.0149081449428987,0.00379773882014221,1.98826536788458,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0098797","plasma membrane protein complex",2,1,2,0.0430223941329645,0.0777096178705957,1.9882380877704,0.00683456215328013,0.0132652078231725,1.9882380877704,0.850373482094633,1.79902762388063,2.22475116763261,0.425723543751984,"1.799;2.225","1.1e-02;1.2e-03","2.1e-02;3.4e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.0463141431502554,1.9882380877704,1.9882380877704,0.0777096178705957,0.0430223941329645,1.9882380877704,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0034703","cation channel complex",1,1,1,0.00517730146016841,0.0117233148006112,1.98488981894162,0.00517730146016841,0.0117233148006112,1.98488981894162,1,1.98488981894162,1.98488981894162,0,"1.985","5.2e-03","1.2e-02","10pct","376_Astro","0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.00911588164675284,1.98488981894162,1.98488981894162,0.0117233148006112,0.00517730146016841,1.98488981894162,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0032869","cellular response to insulin stimulus",1,1,1,0.00315654947471091,0.0127996346831684,1.98468458194874,0.00315654947471091,0.0127996346831684,1.98468458194874,1,1.98468458194874,1.98468458194874,0,"1.985","3.2e-03","1.3e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00656258567766358,1.98468458194874,1.98468458194874,0.0127996346831684,0.00315654947471091,1.98468458194874,1,"376_Astro","parity","Over-represented","Method-Specific"
