ID,Description,n_studies,n_cell_types,n_percentages,weighted_meta_pvalue,weighted_meta_padj,weighted_mean_NES,weighted_mean_pvalue,weighted_mean_padj,weighted_enhanced_score,effect_consistency,min_NES,max_NES,nes_range,individual_NES,individual_pvalue,individual_padj,individual_percentages,individual_cell_types,individual_weights,database,meta_group,weighted_analysis,analysis_version,weighted_meta_padj_corrected
GO:0000166,nucleotide binding,5,2,3,1.8830667686729313e-4,0.002723401627683621,2.521928807595873,6.826981549968286e-4,0.004135003986121709,2.521928807595873,0.8469930701234508,2.083994482148026,2.907812017385931,0.8238175352379051,2.259;2.868;2.084;2.287;2.908,1.0e-03;5.3e-06;2.1e-03;1.1e-03;8.4e-06,4.2e-03;5.6e-05;3.5e-02;4.4e-03;8.7e-05,5pct;10pct;25pct;5pct;10pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4,GO_MF,CA3_do_combined,TRUE,v7_weighted_standalone,5.810065306357687e-4
GO:0060627,regulation of vesicle-mediated transport,1,1,1,6.71552972546857e-5,5.426344092039203e-4,2.5844515016942906,6.71552972546857e-5,5.426344092039203e-4,2.5844515016942906,1,2.584451501694291,2.584451501694291,0,2.584,6.7e-05,5.4e-04,10pct,78_Sst_HPF,0.4,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,5.915591625817166e-4
GO:0005737,cytoplasm,1,1,1,7.217837060124343e-5,2.7390766279446226e-4,2.5844390268386697,7.217837060124343e-5,2.7390766279446226e-4,2.5844390268386697,1,2.5844390268386697,2.5844390268386697,0,2.584,7.2e-05,2.7e-04,5pct,78_Sst_HPF,0.5,GO_CC,78_Sst_HPF,TRUE,v7_weighted_standalone,6.265919418861568e-4
GO:0060627,regulation of vesicle-mediated transport,1,1,1,7.517963342221418e-5,5.944561014170793e-4,2.5349296409091093,7.517963342221418e-5,5.944561014170793e-4,2.5349296409091093,1,2.5349296409091093,2.5349296409091093,0,2.535,7.5e-05,5.9e-04,10pct,376_Astro,0.4,GO_BP,376_Astro,TRUE,v7_weighted_standalone,6.317177530616609e-4
GO:0046031,ADP metabolic process,6,2,3,2.0693331721405815e-4,0.005270504492484502,2.4651131580050833,9.391148735062479e-4,0.006619226753592436,2.4651131580050833,0.8526401145423174,2.1562470733300843,2.912545076763173,0.7562980034330886,2.156;2.913;2.273;2.162;2.886;2.246,2.0e-03;1.4e-06;7.5e-04;1.5e-03;1.3e-06;9.5e-04,7.9e-03;2.6e-05;2.8e-02;6.5e-03;2.7e-05;3.3e-02,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.321246605444364e-4
GO:0046032,ADP catabolic process,6,2,3,2.065080591940813e-4,0.005250536019674028,2.4672973116108134,9.395084558077894e-4,0.006561530545016527,2.4672973116108134,0.8548298876840293,2.1562470733300843,2.912545076763173,0.7562980034330886,2.156;2.913;2.29;2.162;2.886;2.272,2.0e-03;1.4e-06;1.0e-03;1.5e-03;1.3e-06;6.7e-04,7.9e-03;2.6e-05;3.4e-02;6.5e-03;2.7e-05;2.5e-02,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.321246605444364e-4
GO:0051128,regulation of cellular component organization,2,1,2,7.616548770924423e-5,9.977754729801754e-4,2.9337860381930367,2.2192291336111076e-6,4.9117600726957894e-5,2.9337860381930367,0.9559181947973703,2.852216682521557,3.035747732782387,0.18353105026083005,2.852;3.036,3.6e-06;5.3e-07,7.8e-05;1.3e-05,5pct;10pct,78_Sst_HPF;78_Sst_HPF,0.5;0.4,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,6.425792554624972e-4
GO:0070382,exocytic vesicle,3,1,3,7.519392213264799e-5,3.8567027913265884e-4,3.077864851031427,5.680713139704791e-6,5.9058600356982155e-5,3.077864851031427,0.8679737807507429,2.6566754142985385,3.4249197592067513,0.7682443449082128,2.884;3.425;2.657,5.6e-06;1.7e-08;2.9e-05,2.9e-05;1.3e-07;4.5e-04,5pct;10pct;25pct,78_Sst_HPF;78_Sst_HPF;78_Sst_HPF,0.5;0.4;0.1,GO_CC,78_Sst_HPF,TRUE,v7_weighted_standalone,6.425792554624972e-4
GO:0002790,peptide secretion,4,2,2,2.1874545767035513e-4,0.003413582756008648,2.423212551407801,4.2572058467596783e-4,0.0023859575314704178,2.423212551407801,0.9454161367445523,2.278212092357637,2.5269694808720295,0.24875738851439255,2.521;2.317;2.527;2.278,8.4e-05;1.1e-03;1.1e-04;5.6e-04,7.4e-04;5.5e-03;9.3e-04;3.2e-03,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.551693219980393e-4
GO:0015833,peptide transport,4,2,2,2.1874545767035513e-4,0.003413582756008648,2.423212551407801,4.2572058467596783e-4,0.0023859575314704178,2.423212551407801,0.9454161367445523,2.278212092357637,2.5269694808720295,0.24875738851439255,2.521;2.317;2.527;2.278,8.4e-05;1.1e-03;1.1e-04;5.6e-04,7.4e-04;5.5e-03;9.3e-04;3.2e-03,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.551693219980393e-4
