"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"78_Sst_HPF","R-MMU-373076","Class A/1 (Rhodopsin-like receptors)",4,"association;expression;statistical;composite","Reactome Pathways",4.00747461798452e-23,6.19792601256403e-14,1,-1.27570894976933,0.967299439972047,4.38925283592477,4.48518204947512e-06,0.000122748214018811,7.32362483705386e-05,0.000136109713216242,-1.33152159307304,-1.25551039831827,-1.28096233684989,-1.2348414708361,4.24572181008575,"parity","Moderate","Downregulation"
"78_Sst_HPF","R-MMU-372790","Signaling by GPCR",4,"association;expression;statistical;composite","Reactome Pathways",1.40832066417205e-22,1.5096270640045e-13,1,-1.18210922214132,0.981083520699947,4.26981263568573,1.06221633337993e-05,0.000122748214018811,6.82069245632928e-05,0.00016145920020345,-1.21198525365053,-1.17229967856507,-1.18452498147263,-1.15962697487704,4.18904281334767,"parity","Moderate","Downregulation"
"78_Sst_HPF","NABA_MATRISOME","NABA_MATRISOME",4,"association;expression;statistical;composite","MSigDB Curated",1.44151593724249e-23,1.23670840179578e-12,1,-1.16243587582294,0.97447632138284,4.13206280769348,8.88507440053203e-07,0.000743720108666073,0.000100180353028459,0.00212057802214675,-1.20438775553397,-1.1498521217482,-1.15982062871316,-1.13568299729643,4.02659736456399,"parity","Moderate","Downregulation"
"78_Sst_HPF","R-MMU-388396","GPCR downstream signalling",4,"association;expression;statistical;composite","Reactome Pathways",6.07216515549139e-21,1.88907971421504e-12,1,-1.1784607524241,0.981718538687893,3.94411380794581,3.88094659622188e-05,0.000520643994180393,6.82069245632928e-05,0.00016145920020345,-1.20684826296104,-1.16960653392228,-1.1812919137302,-1.15609629908287,3.8720096439553,"parity","Moderate","Downregulation"
"78_Sst_HPF","MARTENS_TRETINOIN_RESPONSE_UP","MARTENS_TRETINOIN_RESPONSE_UP",4,"association;expression;statistical;composite","MSigDB Curated",2.68823646951441e-22,1.54008544295254e-11,1,-1.17771679586262,0.982717059395894,3.69974034654289,4.20961604480786e-05,0.000436819344707993,0.00056206294253632,0.000212483894928216,-1.206882753088,-1.16870221813479,-1.1749879877752,-1.1602942244525,3.63579795388298,"parity","Moderate","Downregulation"
"78_Sst_HPF","WP_GPCRS_CLASS_A_RHODOPSINLIKE","WP_GPCRS_CLASS_A_RHODOPSINLIKE",4,"association;expression;statistical;composite","MSigDB Curated",2.36767566869583e-20,2.62108266463986e-10,1,-1.28677006081421,0.963223906571401,3.42176130632954,2.89120674091515e-05,0.00121769709732219,0.000599952975519717,0.00234425118217799,-1.35159540758846,-1.2639624824928,-1.289351159635,-1.2421711935406,3.2959222928376,"parity","Moderate","Downregulation"
"78_Sst_HPF","MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3","MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3",4,"association;expression;statistical;composite","MSigDB Curated",2.87377973248046e-20,4.85993946536141e-10,1,-1.20355971500523,0.988276052251173,3.24947259279469,0.000437144624853227,0.00100025813250521,0.000580981760732079,0.000385794547327901,-1.22212058271054,-1.19671708565172,-1.2059870680739,-1.18941412358474,3.21137594590552,"parity","Moderate","Downregulation"
"78_Sst_HPF","BENPORATH_PRC2_TARGETS","BENPORATH_PRC2_TARGETS",4,"association;expression;statistical;composite","MSigDB Curated",6.02252019046312e-20,5.9965720443349e-10,1,-1.17090323035223,0.983646495247512,3.26060627171153,0.000112460304569187,0.00121769709732219,0.00170205523373008,0.000530674975147199,-1.19931440846171,-1.16269498051911,-1.16406770518008,-1.15753582724802,3.20728393155111,"parity","Moderate","Downregulation"
"78_Sst_HPF","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION","KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",4,"association;expression;statistical;composite","MSigDB Curated",7.21987699721956e-19,4.72223693777109e-09,1,-1.23039245796575,0.98051841694091,3.01354936707818,0.000414788231795929,0.00121769709732219,0.00112094143973898,0.00217075485378079,-1.26423269486719,-1.2225870343387,-1.22682736461807,-1.20792273803904,2.95484065478078,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0007186","G protein-coupled receptor signaling pathway",4,"association;expression;statistical;composite","GO Biological Process",6.81545851237436e-22,1.652445680862e-08,1,-1.15182032871249,0.985313752176882,2.86261753639944,0.000463044184345365,0.00364041020337684,0.00114233363058822,0.00259895978752758,-1.17633863148215,-1.1413957349587,-1.14973889332563,-1.13980805508349,2.82057642583708,"parity","Method-Specific","Downregulation"
