"ensembl_id","gene_name","loading","abs_loading","original_pval","reduced_pval","log_pval_degradation","original_coef","reduced_coef","coef_degradation","original_r2","reduced_r2","r2_loss","contribution_score","PC","model","test_term","external_gene_name","final_rank"
"ENSRNOG00000030700","Gene_10400",-0.0112238936012997,0.0112238936012997,0.047508095512377,0.0493645261822503,0.0166473519362742,11.6054309272212,11.4279191907999,0.177511736421275,0.0660150458719886,0.0649687260197164,0.00104631985227222,0.121279337163496,5,"Parity_Binary","parity_binaryParous","COX3",40
"ENSRNOG00000047307","Gene_11651",-0.00927194464926113,0.00927194464926113,0.047508095512377,0.0493320853538327,0.0163618533146248,11.6054309272212,11.5057761753876,0.0996547518335653,0.0660150458719886,0.0649866612380517,0.00102838463393685,0.11920031670831,5,"Parity_Binary","parity_binaryParous","Cntfr",41
"ENSRNOG00000019201","Gene_7830",-0.011301847666637,0.011301847666637,0.047508095512377,0.0493293898309268,0.0163381226594329,11.6054309272212,11.4019920643996,0.203438862821608,0.0660150458719886,0.0649881520283089,0.00102689384367968,0.119027507027401,5,"Parity_Binary","parity_binaryParous","Naxe",42
"ENSRNOG00000054151","Gene_12451",-0.00336635464839483,0.00336635464839483,0.047508095512377,0.0493146358527648,0.0162082096453347,11.6054309272212,11.5077260566523,0.0977048705688333,0.0660150458719886,0.0649963133696831,0.00101873250230552,0.118081459875887,5,"Parity_Binary","parity_binaryParous","Pus10",43
"ENSRNOG00000061160","Gene_13205",0.0073566455859774,0.0073566455859774,0.047508095512377,0.0493055301437787,0.0161280118655451,11.6054309272212,11.4963165786678,0.109114348553367,0.0660150458719886,0.0650013515540759,0.00101369431791271,0.117497443656816,5,"Parity_Binary","parity_binaryParous","Htra4",44
"ENSRNOG00000017930","Gene_7244",0.00586749784289829,0.00586749784289829,0.047508095512377,0.0492917523765187,0.0160066371546001,11.6054309272212,11.4776068909497,0.127824036271459,0.0660150458719886,0.0650089766029802,0.00100606926900841,0.116613564055441,5,"Parity_Binary","parity_binaryParous","Lpcat1",45
"ENSRNOG00000058068","Gene_12853",-0.00712102379746276,0.00712102379746276,0.047508095512377,0.0492718766837552,0.0158314832181939,11.6054309272212,11.5099556580355,0.0954752691857159,0.0660150458719886,0.0650199802921686,0.000995065579820043,0.115338041200198,5,"Parity_Binary","parity_binaryParous","Obscn",46
"ENSRNOG00000057943","Gene_12839",0.00743000129376904,0.00743000129376904,0.047508095512377,0.0492474659280713,0.0156162674762188,11.6054309272212,11.5068617483851,0.0985691788360992,0.0660150458719886,0.0650335009460224,0.000981544925966193,0.113770760072838,5,"Parity_Binary","parity_binaryParous",NA,47
"ENSRNOG00000001204","Gene_479",0.00795667431601301,0.00795667431601301,0.047508095512377,0.0492318218597331,0.0154782865309137,11.6054309272212,11.501424659485,0.104006267736224,0.0660150458719886,0.0650421695172205,0.000972876354768129,0.112765922007727,5,"Parity_Binary","parity_binaryParous","Ankrd13a",48
"ENSRNOG00000003891","Gene_1546",0.00321127957554689,0.00321127957554689,0.047508095512377,0.0492128848941396,0.0153112035046367,11.6054309272212,11.5135621958687,0.0918687313525037,0.0660150458719886,0.0650526665084264,0.00096237936356218,0.111549139860855,5,"Parity_Binary","parity_binaryParous",NA,49
