"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000011146","Gyg1",28.9070997594997,0.0378455713287028,0.0772857853642915,0.48968346702198,0.624357902768815,0.999995822429765,FALSE,FALSE,FALSE,0.0189236928140967
"ENSRNOG00000022485","Chuk",10.133966325644,-0.0630213066456155,0.128701897814117,-0.489668821641127,0.6243682678468,0.999995822429765,FALSE,FALSE,FALSE,0.031511560472553
"ENSRNOG00000016368","Ppp1r14c",11.4179709096169,-0.0591602391748503,0.120844811366144,-0.489555476201642,0.62444848912236,0.999995822429765,FALSE,FALSE,FALSE,0.0295810267371704
"ENSRNOG00000016707","Casp2",7.18992148360593,-0.0743329075211645,0.151857840685778,-0.489490086158759,0.624494771550533,0.999995822429765,FALSE,FALSE,FALSE,0.0371673609103275
"ENSRNOG00000006784","Sema4f",43.1457472022379,0.0322818999149184,0.0659516352655359,0.48947838495504,0.624503053703521,0.999995822429765,FALSE,FALSE,FALSE,0.0161418571072044
"ENSRNOG00000004713","Kcnj16",7.8271571802743,-0.0847344522297269,0.173130134712514,-0.489426363414031,0.624539875306741,0.999995822429765,FALSE,FALSE,FALSE,0.0423681332646087
"ENSRNOG00000037715","Actmap",3.93005950934446,0.102454491283176,0.209352663129804,0.489387093297453,0.6245676718873,0.999995822429765,FALSE,FALSE,FALSE,0.0512281527913331
"ENSRNOG00000001531",NA,3.17759680716332,-0.111548045173824,0.227946453077133,-0.489360740945935,0.624586325181153,0.999995822429765,FALSE,FALSE,FALSE,0.055774929736657
"ENSRNOG00000015255",NA,5.32267416858141,-0.0865784496932005,0.176923529360885,-0.48935520338055,0.624590244931552,0.999995822429765,FALSE,FALSE,FALSE,0.0432901319963455
"ENSRNOG00000024525","Alkbh8",4.54415070153934,-0.0932471458812028,0.19062876838511,-0.489155685530236,0.624731480177162,0.999995822429765,FALSE,FALSE,FALSE,0.0466244800903467
"ENSRNOG00000058484",NA,22.8218647935023,-0.0420072429189696,0.0858884686134388,-0.48909060316389,0.624777553843806,0.999995822429765,FALSE,FALSE,FALSE,0.0210045286092301
"ENSRNOG00000039476","Pcdhb2",1.53084370960142,-0.15987653685377,0.327053862945153,-0.488838552200745,0.624956001759175,0.999995822429765,FALSE,FALSE,FALSE,0.07993917557663
"ENSRNOG00000015763",NA,11.467748899217,-0.0600543855839828,0.122874582636687,-0.488745388145492,0.625021965936448,0.999995822429765,FALSE,FALSE,FALSE,0.0300280999417367
"ENSRNOG00000045846","Rfx2",5.38049357040642,-0.0866990182205843,0.177391862089424,-0.488742928787111,0.625023707309158,0.999995822429765,FALSE,FALSE,FALSE,0.0433504162600374
"ENSRNOG00000014647","Cbfb",8.12328336608724,-0.0700915771512077,0.1435011899738,-0.488438995969335,0.62523892601832,0.999995822429765,FALSE,FALSE,FALSE,0.0350466957253491
"ENSRNOG00000028624","Kif26b",13.7369774503922,-0.0543855929004955,0.111391867936537,-0.488236654146787,0.625382224564352,0.999995822429765,FALSE,FALSE,FALSE,0.027193703599993
"ENSRNOG00000019404","Hhatl",3.21300526054432,0.113594826234988,0.232781139384449,0.487989819688017,0.62555705197876,0.999995822429765,FALSE,FALSE,FALSE,0.0567983202672394
"ENSRNOG00000018406","Wipf1",19.8596855418131,-0.044868494670061,0.0919469876985524,-0.487982214459946,0.625562438928887,0.999995822429765,FALSE,FALSE,FALSE,0.0224351544847758
"ENSRNOG00000017956","Golga7",59.936174605927,-0.0260173247510521,0.0533166711067871,-0.487977291360565,0.625565926078998,0.999995822429765,FALSE,FALSE,FALSE,0.0130095695252713
"ENSRNOG00000039528",NA,78.9775136487138,0.0227462026922968,0.0466162096434685,0.487946207258484,0.625587943892146,0.999995822429765,FALSE,FALSE,FALSE,0.0113740084958937
"ENSRNOG00000001245","Pcbp3",31.3406787764078,0.0363610381894675,0.0745216215739733,0.487926019609947,0.625602243595332,0.999995822429765,FALSE,FALSE,FALSE,0.018181426244479
"ENSRNOG00000012953","Arsa",39.5524406507167,0.0324107626310943,0.0664292801639017,0.487898748129242,0.625621561278321,0.999995822429765,FALSE,FALSE,FALSE,0.0162062884652924
"ENSRNOG00000024278","Rbm42",40.5082146104858,0.0320698292360701,0.0657394519300983,0.487832318257999,0.625668617781805,0.999995822429765,FALSE,FALSE,FALSE,0.0160358217677803
"ENSRNOG00000018712","Camk2a",1367.5561702239,0.0263236470624479,0.0539658163409913,0.487783727686391,0.625703038540261,0.999995822429765,FALSE,FALSE,FALSE,0.0131627306809692
"ENSRNOG00000022438","Jmjd4",4.69512785278456,0.0932412576840682,0.191192830259125,0.48768176901664,0.625775267029998,0.999995822429765,FALSE,FALSE,FALSE,0.0466215359917794
"ENSRNOG00000025551","Rgs22",1.5155668679001,0.169082456580062,0.346707932036925,0.487679804689484,0.625776658613272,0.999995822429765,FALSE,FALSE,FALSE,0.0845421354397765
